t,v_wind,bat_pct,e_kalan,e_pnr,mass,i_est,v_term,pnr
187.0,3.0,42.8,4.0661,2.8502,1500.0,7.081,10.758,0
188.0,3.0,42.54,4.0413,2.8502,1500.0,7.081,10.754,0
189.0,3.0,42.28,4.0165,2.8502,1500.0,7.081,10.75,0
190.0,3.0,42.02,3.9917,2.8502,1500.0,7.081,10.746,0
191.0,3.0,41.76,3.9669,2.8502,1500.0,7.081,10.742,0
192.0,3.0,41.5,3.9421,2.8502,1500.0,7.081,10.738,0
193.0,3.0,41.24,3.9174,2.8502,1500.0,7.081,10.734,0
194.0,3.0,40.97,3.8926,2.8502,1500.0,7.081,10.73,0
195.0,3.0,40.71,3.8678,2.8502,1500.0,7.081,10.726,0
196.0,3.0,40.45,3.843,2.8502,1500.0,7.081,10.722,0
197.0,3.0,40.19,3.8182,2.8502,1500.0,7.081,10.717,0
198.0,3.0,39.93,3.7934,2.8502,1500.0,7.081,10.713,0
199.0,3.0,39.67,3.7687,2.8502,1500.0,7.081,10.709,0
200.0,3.0,39.41,3.7439,2.8502,1500.0,7.081,10.704,0
201.0,3.0,39.15,3.7191,2.8502,1500.0,7.081,10.7,0
202.0,3.0,38.89,3.6943,2.8502,1500.0,7.081,10.695,0
203.0,3.0,38.63,3.6695,2.8502,1500.0,7.081,10.691,0
204.0,3.0,38.37,3.6447,2.8502,1500.0,7.081,10.686,0
205.0,3.0,38.1,3.6199,2.8502,1500.0,7.081,10.681,0
206.0,3.0,37.84,3.5952,2.8502,1500.0,7.081,10.677,0
207.0,3.0,37.58,3.5704,2.8502,1500.0,7.081,10.672,0
208.0,3.0,37.32,3.5456,2.8502,1500.0,7.081,10.667,0
209.0,3.0,37.06,3.5208,2.8502,1500.0,7.081,10.662,0
210.0,3.0,36.8,3.496,2.8502,1500.0,7.081,10.657,0
211.0,3.0,36.54,3.4712,2.8502,1500.0,7.081,10.652,0
212.0,3.0,36.28,3.4465,2.8502,1500.0,7.081,10.646,0
213.0,3.0,36.02,3.4217,2.8502,1500.0,7.081,10.641,0
214.0,3.0,35.76,3.3969,2.8502,1500.0,7.081,10.636,0
215.0,3.0,35.5,3.3721,2.8502,1500.0,7.081,10.63,0
216.0,3.0,35.23,3.3473,2.8502,1500.0,7.081,10.624,0
217.0,3.0,34.97,3.3225,2.8502,1500.0,7.081,10.619,0
218.0,3.0,34.71,3.2978,2.8502,1500.0,7.081,10.613,0
219.0,3.0,34.45,3.273,2.8502,1500.0,7.081,10.607,0
220.0,3.0,34.19,3.2482,2.8502,1500.0,7.081,10.601,0
221.0,3.0,33.93,3.2234,2.8502,1500.0,7.081,10.595,0
222.0,3.0,33.67,3.1986,2.8502,1500.0,7.081,10.589,0
223.0,3.0,33.41,3.1738,2.8502,1500.0,7.081,10.582,0
224.0,3.0,33.15,3.149,2.8502,1500.0,7.081,10.576,0
225.0,3.0,32.89,3.1243,2.8502,1500.0,7.081,10.569,0
226.0,3.0,32.63,3.0995,2.8502,1500.0,7.081,10.562,0
227.0,3.0,32.37,3.0747,2.8502,1500.0,7.081,10.556,0
228.0,3.0,32.1,3.0499,2.8502,1500.0,7.081,10.549,0
229.0,3.0,31.84,3.0251,2.8502,1500.0,7.081,10.541,0
230.0,3.0,31.58,3.0003,2.8502,1500.0,7.081,10.534,0
231.0,3.0,31.32,2.9756,2.8502,1500.0,7.081,10.527,0
232.0,3.0,31.06,2.9508,2.8502,1500.0,7.081,10.519,0
233.0,3.0,30.8,2.926,2.8502,1500.0,7.081,10.511,0
234.0,3.0,30.54,2.9012,2.8502,1500.0,7.081,10.504,0
235.0,3.0,30.28,2.8764,2.8502,1500.0,7.081,10.496,0
236.0,3.0,30.02,2.8516,2.8502,1500.0,7.081,10.487,0
237.0,3.0,29.76,2.8268,2.8502,1500.0,7.081,10.479,1
